影片連結,文字敘述,標籤,上傳日期,置頂,音檔
https://www.tiktok.com/@ld.1003_/video/7556540616906231052?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,然後呢,,2025/10/3,,оригинальный звук - 𝐦𝐚𝐭𝐫𝐚𝐧𝐠
https://www.tiktok.com/@ld.1003_/video/7556467474712005900?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,每次手機都過熱 要來清草稿了 dc: @jink,,2025/10/3,,Fluxo Socadão - SEKIRX
https://www.tiktok.com/@ld.1003_/video/7556269903800651019?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,忘記發文了 這個時間一定超限 但還是得更,,2025/10/2,,原聲 - 鹿🦌
https://www.tiktok.com/@ld.1003_/video/7555856388602285368?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,8 8 8 8 打嘎打,,2025/10/1,,Tacata - Tiagz
https://www.tiktok.com/@ld.1003_/video/7555742442536848652?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,♡,,2025/10/1,,sonido original - Nuzug
https://www.tiktok.com/@ld.1003_/video/7555119472055504140?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,剛剛第一次跟粉絲合照 我很怕她會說我很醜 我要哭了,,2025/9/30,,原聲 - 鹿🦌
https://www.tiktok.com/@ld.1003_/video/7554701311367728395?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,yoiyoi,,2025/9/27,,原聲 - ₊·.鐵金剛₊⁺. - ₊·.PEIYIN₊⁺.
https://www.tiktok.com/@ld.1003_/video/7554343284567444747?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,草稿有快1000部佔14.8GB的好處就是可以發忘記自己拍過的影片=新影片,,2025/9/26,,FESTA DA SEMANA - 2KE
https://www.tiktok.com/@ld.1003_/video/7554274677393247499?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,為了拍這部我手機整個掉到地板上 還沒有裝殼🥹 dc: @jink,,2025/9/26,,Bayan - Jmilton & DJ VIBER & Mc Jhey
https://www.tiktok.com/@ld.1003_/video/7553598462235905292?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,不應該開廣角但我又不太會拍,,2025/9/24,,原聲 - Ru.儒妹
https://www.tiktok.com/@ld.1003_/video/7553322187055222028?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,口紅沒塗滿,,2025/9/24,,nhạc nền - Dưa hấu không đường
https://www.tiktok.com/@ld.1003_/video/7552456595112873228?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,這好難跳,,2025/9/21,,เสียงต้นฉบับ - FERNWANG
https://www.tiktok.com/@ld.1003_/video/7552442172352630027?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,整齊吧,,2025/9/21,,nhạc nền - Van_is_me 🐮🐮
https://www.tiktok.com/@ld.1003_/video/7551739992658464012?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,TikTok不知道為什麼把我的訂閱者全部踢掉了 現在剩十個^^,,2025/9/19,,nhạc nền - Van_is_me 🐮🐮
https://www.tiktok.com/@ld.1003_/video/7551719235462909240?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,,,2025/9/19,,original sound - retq
https://www.tiktok.com/@ld.1003_/video/7551455684232072460?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,之前覺得這部不好看所以沒發,,2025/9/18,,drunk skeletons - 𝙀𝙈𝙋𝙏𝙔𝙂𝙇𝙊𝘾𝙆.
https://www.tiktok.com/@ld.1003_/video/7551331037922577720?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,,,2025/9/18,,原聲 - ✰
https://www.tiktok.com/@ld.1003_/video/7550970577914318136?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,有點跳錯 但我超喜歡 她們真的活該大紅😭🤍 @KATSEYE Dc: @Robbie Blue,,2025/9/17,,original sound - Gap
https://www.tiktok.com/@ld.1003_/video/7550611389337947448?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,,,2025/9/16,,original sound - S_k. sharma🌸
https://www.tiktok.com/@ld.1003_/video/7550270427113737477?is_from_webapp=1&sender_device=pc&web_id=7555889317076321800,,,2025/9/15,,原聲 - 鹿🦌
